
gender
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,black_males,white_males,indian_males,white_females,indian_females,asian_males,black_females,asian_females,African,Caucasian,Indian,Asian,Black_Males,White_Males,White_Females,Asian_Males,Black_Females,Asian_Females,Females,Males
DP2,"[[0, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[43, 14, 0, 0, 0]]","[[57, 57, 29, 0, 0]]","[[71, 71, 57, 43, 0]]","[[86, 71, 71, 57, 14]]","[[100, 86, 71, 57, 43]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 0]]","[[33, 33, 33, 33, 0]]","[[67, 33, 33, 33, 0]]","[[0, 0, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[40, 40, 20, 0, 0]]","[[60, 60, 60, 60, 40]]","[[80, 80, 60, 60, 60]]","[[100, 80, 60, 60, 60]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 100, 100]]"
race
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,white_females,white_males,indian_females,indian_males,asian_males,asian_females,black_females,black_males,Caucasian,Indian,Asian,African,White_Females,White_Males,Asian_Males,Asian_Females,Black_Females,Black_Males,Females,Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[14, 14, 14, 14, 14]]","[[29, 29, 29, 29, 29]]","[[43, 43, 43, 43, 43]]","[[57, 57, 57, 57, 57]]","[[71, 71, 71, 57, 57]]","[[86, 71, 71, 57, 57]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 33]]","[[67, 67, 67, 67, 67]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[20, 20, 20, 20, 0]]","[[40, 40, 40, 40, 40]]","[[60, 60, 40, 40, 40]]","[[80, 80, 80, 80, 80]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 100, 100]]"
,white_females,white_males,asian_females,asian_males,indian_females,indian_males,black_females,black_males,Caucasian,African,Asian,Indian,White_Females,White_Males,Black_Males,Asian_Females,Asian_Males,Black_Females,Females,Males
DP1,"[[0, 0, 0, 0, 0]]","[[14, 14, 14, 0, 0]]","[[29, 29, 29, 29, 29]]","[[43, 43, 43, 43, 29]]","[[57, 57, 57, 57, 57]]","[[71, 71, 57, 57, 57]]","[[86, 71, 71, 57, 57]]","[[100, 100, 100, 100, 86]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 0]]","[[67, 67, 67, 67, 67]]","[[100, 100, 67, 67, 67]]","[[0, 0, 0, 0, 0]]","[[20, 20, 20, 20, 0]]","[[40, 40, 40, 40, 20]]","[[60, 60, 60, 60, 60]]","[[80, 80, 60, 60, 60]]","[[100, 100, 100, 100, 80]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 0, 0]]"
,white_females,white_males,asian_females,asian_males,indian_females,indian_males,black_females,black_males,Caucasian,African,Asian,Indian,White_Females,White_Males,Asian_Females,Black_Males,Asian_Males,Black_Females,Females,Males
DP2,"[[0, 0, 0, 0, 0]]","[[14, 14, 14, 14, 0]]","[[29, 29, 29, 29, 29]]","[[43, 43, 43, 29, 29]]","[[57, 57, 57, 57, 57]]","[[71, 71, 57, 57, 57]]","[[86, 86, 86, 86, 86]]","[[100, 100, 100, 86, 86]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 33]]","[[67, 67, 67, 67, 33]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[20, 20, 20, 0, 0]]","[[40, 40, 40, 40, 40]]","[[60, 60, 60, 60, 40]]","[[60, 60, 60, 60, 40]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[100, 100, 0, 0, 0]]"
age
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,black_females,indian_females,asian_females,white_females,black_males,asian_males,indian_males,white_males,African,Asian,Indian,Caucasian,Black_Females,Asian_Females,White_Females,Black_Males,Asian_Males,White_Males,Females,Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[43, 0, 0, 0, 0]]","[[43, 0, 0, 0, 0]]","[[71, 43, 0, 0, 0]]","[[86, 71, 0, 0, 0]]","[[100, 71, 43, 0, 0]]","[[0, 0, 0, 0, 0]]","[[33, 0, 0, 0, 0]]","[[67, 33, 0, 0, 0]]","[[67, 33, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[20, 0, 0, 0, 0]]","[[80, 0, 0, 0, 0]]","[[100, 60, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[100, 0, 0, 0, 0]]"
,asian_females,indian_females,black_females,white_females,asian_males,black_males,white_males,indian_males,African,Indian,Asian,Caucasian,Asian_Females,Black_Females,White_Females,Asian_Males,Black_Males,White_Males,Females,Males
DP1,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[29, 0, 0, 0, 0]]","[[57, 29, 0, 0, 0]]","[[57, 29, 0, 0, 0]]","[[57, 43, 0, 0, 0]]","[[71, 43, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[100, 0, 0, 0, 0]]"
,asian_females,indian_females,black_males,asian_males,black_females,indian_males,white_females,white_males,African,Indian,Asian,Caucasian,Asian_Females,Black_Females,White_Females,Asian_Males,White_Males,Black_Males,Females,Males
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[71, 14, 0, 0, 0]]","[[71, 14, 0, 0, 0]]","[[71, 29, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[33, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[60, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[100, 0, 0, 0, 0]]"
