"epsilons=[0.02, 0.05, 0.1, 0.15, 0.2]"
Original
""
pairs
,BFW,,,,,,,,,DemogPairs,,,,,,
,white_females,indian_females,black_females,asian_males,indian_males,white_males,asian_females,black_males,White_Females,White_Males,Black_Females,Asian_Males,Asian_Females,Black_Males
VGG-Face,"[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[14, 14, 0, 0, 0]","[14, 14, 0, 0, 0]","[29, 14, 0, 0, 0]","[71, 29, 0, 0, 0]","[71, 57, 14, 0, 0]","[100, 100, 100, 100, 100]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[40, 0, 0, 0, 0]","[40, 0, 0, 0, 0]","[100, 100, 100, 100, 100]"
Facenet,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[29, 14, 0, 0, 0]","[43, 43, 43, 43, 43]","[43, 43, 43, 43, 43]","[43, 43, 43, 43, 43]","[86, 86, 86, 86, 43]","[100, 86, 86, 86, 86]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 40, 40, 40, 40]","[40, 40, 40, 40, 40]","[80, 60, 40, 40, 40]","[100, 100, 100, 100, 60]"
OpenFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[43, 43, 0, 0, 0]","[43, 43, 0, 0, 0]","[71, 71, 43, 0, 0]","[86, 86, 71, 43, 0]","[100, 100, 100, 86, 71]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[60, 60, 40, 0, 0]","[80, 60, 60, 0, 0]","[100, 80, 60, 60, 0]"
Dlib,"[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[29, 29, 14, 0, 0]","[29, 29, 29, 0, 0]","[43, 29, 29, 0, 0]","[71, 29, 29, 14, 0]","[86, 86, 86, 86, 71]","[100, 100, 100, 100, 86]","[0, 0, 0, 0, 0]","[20, 20, 0, 0, 0]","[20, 20, 0, 0, 0]","[40, 20, 0, 0, 0]","[60, 20, 0, 0, 0]","[100, 100, 80, 20, 0]"
ArcFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[29, 29, 0, 0, 0]","[43, 29, 0, 0, 0]","[57, 57, 29, 0, 0]","[57, 57, 29, 0, 0]","[86, 86, 86, 86, 86]","[86, 86, 86, 86, 86]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 20, 0, 0, 0]","[60, 40, 0, 0, 0]","[60, 40, 20, 0, 0]","[100, 100, 80, 40, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
DeepID,"[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[29, 14, 0, 0, 0]","[29, 14, 0, 0, 0]","[71, 71, 14, 0, 0]","[71, 71, 14, 0, 0]","[100, 100, 71, 57, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[80, 40, 0, 0, 0]","[100, 100, 40, 0, 0]"

Dataset Bias
,BFW,DemogPairs
VGG-Face,"[79, 57, 29, 25, 25]","[67, 33, 33, 33, 33]"
Facenet,"[86, 79, 75, 75, 64]","[87, 80, 73, 73, 60]"
OpenFace,"[86, 86, 54, 32, 18]","[80, 67, 53, 20, 0]"
Dlib,"[93, 75, 71, 50, 39]","[80, 60, 27, 7, 0]"
ArcFace,"[89, 86, 57, 43, 43]","[87, 67, 33, 13, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]"
DeepID,"[82, 68, 25, 14, 0]","[73, 47, 13, 0, 0]"
""
race
,BFW,,,,,DemogPairs,,,,RFW,,,,
,white,indian,asian,black,White,Asian,Black,Caucasian,Indian,Asian,African
VGG-Face,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[100, 100, 100, 100, 100]","[0, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[100, 100, 100, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[100, 100, 100, 100, 100]"
Facenet,"[0, 0, 0, 0, 0]","[33, 33, 33, 33, 0]","[67, 67, 67, 67, 67]","[67, 67, 67, 67, 67]","[0, 0, 0, 0, 0]","[50, 50, 50, 50, 50]","[100, 100, 50, 50, 50]","[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]","[67, 67, 67, 67, 67]","[100, 100, 100, 100, 100]"
OpenFace,"[0, 0, 0, 0, 0]","[33, 33, 0, 0, 0]","[67, 33, 0, 0, 0]","[100, 100, 67, 33, 0]","[0, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Dlib,"[0, 0, 0, 0, 0]","[33, 33, 0, 0, 0]","[67, 33, 33, 0, 0]","[100, 100, 100, 67, 33]","[0, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[100, 50, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[67, 67, 0, 0, 0]","[100, 67, 0, 0, 0]"
ArcFace,"[0, 0, 0, 0, 0]","[33, 33, 33, 0, 0]","[67, 67, 67, 33, 33]","[100, 67, 67, 33, 33]","[0, 0, 0, 0, 0]","[50, 50, 0, 0, 0]","[100, 100, 50, 0, 0]","[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]","[67, 67, 0, 0, 0]","[67, 67, 0, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepID,"[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]","[67, 33, 0, 0, 0]","[100, 100, 67, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]"

Dataset Bias
,BFW,DemogPairs,RFW
VGG-Face,"[83, 50, 50, 50, 50]","[100, 67, 67, 0, 0]","[83, 50, 50, 50, 50]"
Facenet,"[83, 83, 83, 83, 67]","[100, 100, 67, 67, 67]","[100, 83, 83, 83, 83]"
OpenFace,"[100, 83, 33, 17, 0]","[67, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Dlib,"[100, 83, 67, 33, 17]","[100, 33, 0, 0, 0]","[83, 67, 0, 0, 0]"
ArcFace,"[100, 83, 83, 33, 33]","[100, 100, 33, 0, 0]","[83, 67, 0, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepID,"[100, 67, 33, 0, 0]","[67, 67, 0, 0, 0]","[17, 0, 0, 0, 0]"
""
gender
,BFW,,,DemogPairs,,,CelebA,,
,Females,Males,Females,Males,Females,Males
VGG-Face,"[0, 0, 0, 0, 0]","[100, 100, 100, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
Facenet,"[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
OpenFace,"[0, 0, 0, 0, 0]","[100, 100, 100, 100, 0]","[0, 0, 0, 0, 0]","[100, 100, 100, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 100, 0, 0]"
Dlib,"[0, 0, 0, 0, 0]","[100, 100, 100, 100, 100]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]"
ArcFace,"[0, 0, 0, 0, 0]","[100, 100, 100, 0, 0]","[0, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepID,"[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"

Dataset Bias
,BFW,DemogPairs,CelebA
VGG-Face,"[100, 100, 100, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]"
Facenet,"[100, 100, 0, 0, 0]","[100, 100, 0, 0, 0]","[0, 0, 0, 0, 0]"
OpenFace,"[100, 100, 100, 100, 0]","[100, 100, 100, 0, 0]","[100, 100, 100, 0, 0]"
Dlib,"[100, 100, 100, 100, 100]","[100, 100, 0, 0, 0]","[100, 100, 0, 0, 0]"
ArcFace,"[100, 100, 100, 0, 0]","[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
DeepID,"[100, 100, 0, 0, 0]","[100, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
