"epsilons=[0.02, 0.05, 0.1, 0.15, 0.2]"
DP1
""
pairs
,BFW,,,,,,,,,DemogPairs,,,,,,
,indian_females,black_females,asian_females,white_females,asian_males,indian_males,black_males,white_males,White_Females,Black_Females,Asian_Females,Asian_Males,White_Males,Black_Males
VGG-Face,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[86, 57, 0, 0, 0]","[86, 86, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 20, 0, 0, 0]","[40, 20, 0, 0, 0]","[80, 40, 0, 0, 0]","[100, 100, 100, 100, 80]"
Facenet,"[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[29, 14, 0, 0, 0]","[29, 14, 0, 0, 0]","[29, 29, 0, 0, 0]","[57, 29, 0, 0, 0]","[86, 57, 14, 0, 0]","[100, 86, 29, 0, 0]","[0, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[60, 20, 0, 0, 0]","[80, 80, 60, 0, 0]","[100, 100, 80, 60, 20]"
OpenFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[71, 43, 0, 0, 0]","[86, 43, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[60, 60, 0, 0, 0]","[80, 80, 60, 0, 0]","[80, 80, 60, 0, 0]"
DeepID,"[0, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[14, 0, 0, 0, 0]","[14, 14, 0, 0, 0]","[57, 14, 0, 0, 0]","[57, 43, 0, 0, 0]","[86, 86, 57, 14, 0]","[100, 100, 86, 86, 57]","[0, 0, 0, 0, 0]","[20, 20, 0, 0, 0]","[20, 20, 0, 0, 0]","[20, 20, 0, 0, 0]","[80, 80, 20, 20, 0]","[100, 80, 80, 20, 0]"
Dlib,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[71, 0, 0, 0, 0]","[71, 14, 0, 0, 0]","[100, 71, 0, 0, 0]","[0, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[60, 60, 0, 0, 0]","[60, 60, 20, 0, 0]","[100, 60, 20, 0, 0]"
ArcFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[29, 0, 0, 0, 0]","[57, 0, 0, 0, 0]","[57, 0, 0, 0, 0]","[100, 57, 0, 0, 0]","[0, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[40, 20, 0, 0, 0]","[60, 40, 0, 0, 0]","[80, 60, 20, 0, 0]","[100, 60, 40, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[40, 0, 0, 0, 0]","[60, 0, 0, 0, 0]","[80, 20, 0, 0, 0]"

Dataset Bias
,BFW,DemogPairs
VGG-Face,"[54, 36, 0, 0, 0]","[87, 60, 33, 33, 27]"
Facenet,"[86, 57, 11, 0, 0]","[93, 67, 47, 20, 7]"
OpenFace,"[64, 21, 0, 0, 0]","[73, 73, 40, 0, 0]"
DeepID,"[86, 64, 36, 25, 14]","[80, 73, 33, 13, 0]"
Dlib,"[61, 21, 0, 0, 0]","[87, 60, 13, 0, 0]"
ArcFace,"[61, 14, 0, 0, 0]","[100, 60, 20, 0, 0]"
DeepFace,"[0, 0, 0, 0, 0]","[60, 7, 0, 0, 0]"
""
race
,BFW,,,,,RFW,,,,,DemogPairs,,,
,asian,indian,black,white,Indian,Asian,Caucasian,African,White,Asian,Black
VGG-Face,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 100, 100, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]"
Facenet,"[0, 0, 0, 0, 0]","[33, 0, 0, 0, 0]","[67, 33, 0, 0, 0]","[100, 67, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[100, 100, 100, 100, 0]","[0, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[50, 0, 0, 0, 0]"
