total means:
Original
,DemogPairs,BFW
all,81.46666666666665,83.83749999999999
each,84.2,85.27499999999999
""
CIAGAN
,DemogPairs,BFW
all,93.06666666666668,89.6125
each,90.06666666666666,84.9
""
DP1
,DemogPairs,BFW
all,93.26666666666667,99.0625
each,90.16666666666667,96.8125
""
DP2
,DemogPairs,BFW
all,93.80000000000001,97.925
each,91.89999999999999,95.11250000000001
""
Fawkes-High
,DemogPairs,BFW
all,27.099999999999994,44.16250000000001
each,20.46666666666667,38.949999999999996
""
DP-Snow
,DemogPairs,BFW
all,76.14999999999999,81.375
each,70.1,75.1875
""
Pixelation
,DemogPairs,BFW
all,99.58333333333333,98.4125
each,95.69999999999999,96.47500000000001
""
K-Same-Pixel-ArcFace
,DemogPairs,BFW
all,97.71666666666665,90.6125
each,96.41666666666667,90.8375
""
