all,,,,,,,,,,,,,,
DP-Snow,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.0, 0.0, 0.0]]","[[0.6, 0.4, 0.2, 0.0, 0.0]]","[[0.8, 0.6, 0.2, 0.2, 0.0]]","[[0.8, 0.6, 0.2, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.3, 0.0, 0.0, 0.0]]","[[0.3, 0.3, 0.1, 0.0, 0.0]]","[[0.3, 0.3, 0.1, 0.0, 0.0]]","[[0.7, 0.3, 0.3, 0.0, 0.0]]","[[0.9, 0.4, 0.3, 0.0, 0.0]]","[[1.0, 0.7, 0.3, 0.3, 0.0]]"
,Black_Females,Asian_Males,Black_Males,Asian_Females,White_Males,White_Females,black_males,asian_females,black_females,asian_males,indian_females,white_females,white_males,indian_males
Pixelation,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.7, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Asian_Males,Black_Females,Black_Males,White_Males,White_Females,asian_females,asian_males,white_males,black_females,indian_females,white_females,black_males,indian_males
K-Same-Pixel-ArcFace,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.1, 0.0, 0.0, 0.0]]"
each,,,,,,,,,,,,,,
,DemogPairs,,,,,,BFW,,,,,,,
,Asian_Females,Black_Males,Asian_Males,Black_Females,White_Males,White_Females,asian_females,black_males,asian_males,indian_females,black_females,indian_males,white_females,white_males
Original,"[[1.0, 1.0, 1.0, 1.0, 0.4]]","[[0.6, 0.4, 0.0, 0.0, 0.0]]","[[0.6, 0.4, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 0.7, 0.3, 0.0]]","[[0.7, 0.4, 0.3, 0.0, 0.0]]","[[0.6, 0.4, 0.1, 0.0, 0.0]]","[[0.4, 0.3, 0.0, 0.0, 0.0]]","[[0.3, 0.3, 0.0, 0.0, 0.0]]","[[0.3, 0.1, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Black_Males,Black_Females,White_Males,White_Females,Asian_Males,black_males,asian_females,indian_females,asian_males,black_females,white_females,indian_males,white_males
CIAGAN,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[0.6, 0.4, 0.0, 0.0, 0.0]]","[[0.8, 0.4, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.1, 0.0, 0.0, 0.0]]","[[0.7, 0.6, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 0.6, 0.0, 0.0]]"
,White_Females,Asian_Females,Black_Males,Asian_Males,Black_Females,White_Males,black_males,indian_females,asian_females,indian_males,asian_males,white_males,white_females,black_females
DP1,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.4, 0.0, 0.0, 0.0]]","[[1.0, 1.0, 0.4, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]"
,Black_Females,White_Females,Asian_Females,Black_Males,Asian_Males,White_Males,indian_females,asian_females,black_females,black_males,white_females,indian_males,asian_males,white_males
DP2,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.2, 0.0, 0.0, 0.0]]","[[1.0, 0.8, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[0.7, 0.0, 0.0, 0.0, 0.0]]"
,White_Females,White_Males,Black_Females,Black_Males,Asian_Females,Asian_Males,asian_females,indian_females,asian_males,black_males,white_females,black_females,indian_males,white_males
Fawkes-High,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.2, 0.2, 0.2]]","[[0.4, 0.4, 0.4, 0.4, 0.2]]","[[0.4, 0.4, 0.4, 0.4, 0.2]]","[[0.8, 0.8, 0.8, 0.8, 0.8]]","[[1.0, 1.0, 1.0, 1.0, 1.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.1, 0.1, 0.1]]","[[0.3, 0.3, 0.1, 0.1, 0.1]]","[[0.4, 0.4, 0.3, 0.3, 0.1]]","[[0.6, 0.6, 0.6, 0.6, 0.4]]","[[0.6, 0.6, 0.6, 0.6, 0.4]]","[[0.9, 0.9, 0.9, 0.9, 0.9]]","[[1.0, 1.0, 1.0, 0.9, 0.9]]"
,Asian_Females,Asian_Males,Black_Females,Black_Males,White_Males,White_Females,asian_females,black_males,indian_females,black_females,white_females,asian_males,indian_males,white_males
DP-Snow,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.2, 0.0, 0.0]]","[[0.4, 0.2, 0.2, 0.2, 0.0]]","[[0.4, 0.2, 0.2, 0.2, 0.0]]","[[0.4, 0.2, 0.2, 0.2, 0.0]]","[[0.8, 0.4, 0.2, 0.2, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.1, 0.0, 0.0, 0.0]]","[[0.4, 0.3, 0.1, 0.0, 0.0]]","[[0.4, 0.3, 0.1, 0.0, 0.0]]","[[0.7, 0.4, 0.3, 0.0, 0.0]]","[[0.7, 0.6, 0.3, 0.1, 0.0]]","[[1.0, 0.7, 0.4, 0.3, 0.0]]"
,Asian_Females,White_Males,White_Females,Black_Males,Black_Females,Asian_Males,black_males,asian_males,indian_females,black_females,asian_females,indian_males,white_males,white_females
Pixelation,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[0.4, 0.2, 0.0, 0.0, 0.0]]","[[0.6, 0.2, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.7, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Black_Females,Asian_Males,Black_Males,White_Males,White_Females,asian_females,asian_males,white_males,black_females,indian_females,white_females,black_males,indian_males
K-Same-Pixel-ArcFace,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.1, 0.0, 0.0, 0.0]]"
