epsilons=[0.2  0.15 0.1  0.05 0.02]
Original
,ArcFace,,,,,,
,Asian_Females,Black_Males,Asian_Males,Black_Females,White_Males,White_Females
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 20, 20, 20]","[0, 0, 20, 20, 20]","[0, 20, 20, 20, 60]","[0, 20, 20, 40, 60]","[20, 20, 20, 60, 80]"
,asian_females,black_males,asian_males,indian_females,black_females,indian_males,white_females,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 14, 14]","[0, 0, 0, 14, 14]","[0, 0, 0, 14, 14]","[0, 0, 14, 14, 43]","[0, 0, 14, 14, 57]","[0, 14, 14, 71, 86]","[0, 14, 29, 86, 86]"

Dataset Bias
,ArcFace
DemogPairs,"[7, 20, 33, 53, 80]"
BFW,"[0, 7, 18, 57, 79]"
