epsilons=[0.2  0.15 0.1  0.05 0.02]
CIAGAN
,ArcFace,,,,,,
,Asian_Females,Black_Males,Black_Females,White_Males,White_Females,Asian_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 40]","[0, 0, 0, 0, 40]","[0, 0, 0, 40, 60]","[0, 0, 0, 40, 80]"
,black_males,asian_females,indian_females,asian_males,black_females,white_females,indian_males,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 43]","[0, 0, 0, 14, 57]","[0, 0, 0, 29, 71]","[0, 0, 43, 100, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 27, 73]"
BFW,"[0, 0, 11, 36, 68]"
