epsilons=[0.2  0.15 0.1  0.05 0.02]
DP-Snow
,ArcFace,,,,,,
,Asian_Females,Asian_Males,Black_Females,Black_Males,White_Males,White_Females
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 20, 20, 20]","[0, 0, 20, 20, 40]","[0, 0, 20, 20, 40]","[0, 0, 20, 20, 40]","[0, 20, 20, 20, 40]"
,asian_females,black_males,indian_females,black_females,white_females,asian_males,indian_males,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 14, 29]","[0, 0, 0, 29, 43]","[0, 0, 0, 29, 43]","[0, 0, 14, 43, 71]","[0, 0, 29, 43, 71]","[0, 14, 29, 71, 86]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 7, 33, 33, 60]"
BFW,"[0, 4, 18, 57, 89]"
