epsilons=[0.2  0.15 0.1  0.05 0.02]
CIAGAN
,ArcFace,,,,,,
,Asian_Females,Black_Females,Black_Males,White_Females,Asian_Males,White_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 20]","[0, 0, 0, 20, 60]","[0, 0, 0, 60, 100]"
,black_males,asian_females,asian_males,indian_females,indian_males,black_females,white_females,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 43]","[0, 0, 0, 0, 43]","[0, 0, 0, 0, 43]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 27, 60]"
BFW,"[0, 0, 0, 0, 46]"
