epsilons=[0.2  0.15 0.1  0.05 0.02]
Fawkes-High
,ArcFace,,,,,,
,White_Females,White_Males,Black_Females,Black_Males,Asian_Females,Asian_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 20, 20, 20, 20]","[0, 20, 20, 20, 40]","[0, 20, 20, 20, 40]","[20, 20, 40, 80, 80]","[40, 80, 80, 100, 100]"
,asian_females,indian_females,asian_males,black_males,white_females,black_females,indian_males,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 14, 14, 14, 14]","[14, 14, 14, 14, 29]","[14, 14, 14, 29, 43]","[14, 29, 43, 57, 57]","[14, 29, 43, 57, 57]","[43, 57, 57, 86, 86]","[43, 57, 86, 86, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[20, 53, 60, 80, 93]"
BFW,"[36, 54, 68, 86, 96]"
