epsilons=[0.2  0.15 0.1  0.05 0.02]
DP2
,ArcFace,,,,,,
,Asian_Females,Black_Females,White_Females,Asian_Males,Black_Males,White_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 20]","[0, 0, 0, 0, 20]","[0, 0, 0, 0, 40]","[0, 0, 0, 80, 100]"
,black_females,asian_females,indian_females,indian_males,white_males,black_males,white_females,asian_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 27, 60]"
BFW,"[0, 0, 0, 0, 0]"
