epsilons=[0.2  0.15 0.1  0.05 0.02]
Original
,ArcFace,,,,,,
,Asian_Females,Black_Males,Asian_Males,Black_Females,White_Males,White_Females
DemogPairs,"[0, 0, 0, 0, 0]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 40]","[40, 60, 60, 60, 60]","[60, 60, 80, 80, 80]","[80, 80, 80, 100, 100]"
BFW,"[0, 0, 0, 0, 0]","[14, 14, 14, 14, 14]","[14, 14, 14, 14, 14]","[14, 14, 29, 43, 43]","[14, 43, 43, 57, 57]","[43, 57, 71, 71, 71]","[86, 86, 86, 86, 86]","[86, 86, 100, 100, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[73, 80, 87, 93, 100]"
BFW,"[68, 79, 89, 96, 96]"
