epsilons=[0.2  0.15 0.1  0.05 0.02]
DP-Snow
,ArcFace,,,,,,
,Asian_Females,Asian_Males,Black_Females,Black_Males,White_Males,White_Females
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 20, 20, 20]","[0, 20, 20, 20, 40]","[0, 20, 20, 20, 40]","[0, 20, 20, 20, 40]","[0, 20, 20, 40, 80]"
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 14, 29]","[0, 0, 14, 29, 43]","[0, 0, 14, 29, 43]","[0, 0, 29, 43, 71]","[0, 14, 29, 57, 71]","[0, 29, 43, 71, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 27, 33, 40, 73]"
BFW,"[0, 11, 32, 61, 93]"
