epsilons=[0.2  0.15 0.1  0.05 0.02]
K-Same-Pixel-ArcFace
,ArcFace,,,,,,
,Asian_Females,Black_Females,Asian_Males,Black_Males,White_Males,White_Females
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 40]"
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 29]","[0, 0, 0, 14, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 0, 13]"
BFW,"[0, 0, 0, 4, 54]"
