epsilons=[0.2  0.15 0.1  0.05 0.02]
CIAGAN
,ArcFace,,,,,,
,Asian_Females,Black_Males,Black_Females,White_Males,White_Females,Asian_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 40]","[0, 0, 0, 20, 40]","[0, 0, 0, 40, 60]","[0, 0, 0, 40, 80]"
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 57]","[0, 0, 0, 14, 57]","[0, 0, 0, 57, 71]","[0, 0, 57, 100, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 33, 73]"
BFW,"[0, 0, 14, 43, 79]"
