epsilons=[0.2  0.15 0.1  0.05 0.02]
Fawkes-High
,ArcFace,,,,,,
,White_Females,White_Males,Black_Females,Black_Males,Asian_Females,Asian_Males
DemogPairs,"[0, 0, 0, 0, 0]","[20, 20, 20, 20, 20]","[20, 40, 40, 40, 40]","[20, 40, 40, 40, 40]","[80, 80, 80, 80, 80]","[100, 100, 100, 100, 100]"
BFW,"[0, 0, 0, 0, 0]","[14, 14, 14, 14, 14]","[14, 14, 14, 29, 29]","[14, 29, 29, 43, 43]","[43, 57, 57, 57, 57]","[43, 57, 57, 57, 57]","[86, 86, 86, 86, 86]","[86, 86, 100, 100, 100]"

Dataset Bias
,ArcFace
DemogPairs,"[80, 93, 93, 93, 93]"
BFW,"[75, 86, 89, 96, 96]"
