epsilons=[0.2  0.15 0.1  0.05 0.02]
Pixelation
,ArcFace,,,,,,
,Asian_Females,White_Males,White_Females,Black_Males,Black_Females,Asian_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 20]","[0, 0, 0, 0, 20]","[0, 0, 0, 20, 40]","[0, 0, 0, 20, 40]","[0, 0, 0, 20, 60]"
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 71]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 20, 60]"
BFW,"[0, 0, 0, 0, 29]"
