epsilons=[0.2  0.15 0.1  0.05 0.02]
DP2
,ArcFace,,,,,,
,Black_Females,White_Females,Asian_Females,Black_Males,Asian_Males,White_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 60]","[0, 0, 0, 20, 60]","[0, 0, 0, 80, 100]"
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 0, 43]","[0, 0, 0, 0, 57]","[0, 0, 0, 0, 71]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 0, 33, 73]"
BFW,"[0, 0, 0, 0, 46]"
