epsilons=[0.2  0.15 0.1  0.05 0.02]
DP-Snow
,ArcFace,,,,,,
,Asian_Females,Asian_Males,Black_Males,White_Females,Black_Females,White_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 20, 20]","[0, 0, 0, 20, 20]","[0, 0, 20, 20, 60]","[0, 0, 20, 60, 80]","[0, 0, 20, 60, 80]"
,asian_females,black_males,indian_females,asian_males,white_females,black_females,indian_males,white_males
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 14]","[0, 0, 0, 29, 29]","[0, 0, 0, 29, 29]","[0, 0, 0, 29, 29]","[0, 0, 14, 29, 57]","[0, 0, 29, 43, 71]","[0, 14, 29, 71, 86]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 20, 60, 87]"
BFW,"[0, 4, 18, 57, 79]"
