epsilons=[0.2  0.15 0.1  0.05 0.02]
DP1
,ArcFace,,,,,,
,White_Females,Asian_Females,Black_Males,Asian_Males,Black_Females,White_Males
DemogPairs,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 40]","[0, 0, 0, 0, 40]","[0, 0, 0, 20, 40]","[0, 0, 40, 100, 100]"
,black_males,indian_females,asian_females,indian_males,asian_males,white_males,white_females,black_females
BFW,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 29]","[0, 0, 0, 0, 43]","[0, 0, 0, 0, 43]"

Dataset Bias
,ArcFace
DemogPairs,"[0, 0, 13, 40, 73]"
BFW,"[0, 0, 0, 0, 29]"
